Date,Output NSW,Output VIC,Output QLD,Output SA,Output WA,Output TAS,Output NT
2015-04,9159,59020,10622,7505,6455,2465,2689
2015-05,8722,47371,9323,6606,6087,1780,2390
2015-06,7587,39522,7663,5378,4809,1526,2348
2015-07,9279,43081,9220,6273,4859,1559,2643
2015-08,11160,52890,11508,7453,6407,2306,3058
2015-09,15029,80133,13094,10187,8371,2931,3592
2015-10,33779,104260,42873,27449,20345,5488,3917
2015-11,112149,100728,184791,81621,72969,11518,3835
2015-12,127814,122063,189347,92485,78452,13589,3564
2016-01,114796,104363,186461,87863,69098,11600,4040
2016-02,123112,107428,182971,82406,73989,11497,4207
2016-03,107506,89781,170851,69991,66808,10026,4040
2016-04,86215,74485,152772,57386,46114,7871,4056
2016-05,79700,57694,144812,40101,43728,5525,3478
2016-06,57587,43078,105127,34635,38131,4393,3370
2016-07,71638,49628,128857,36189,42590,5595,4008
2016-08,91486,72938,160635,54981,50749,7655,4768
2016-09,104738,81473,167768,57845,64808,8871,4835
2016-10,140430,113892,218413,85565,81162,12228,6064
2016-11,151749,114916,198643,89878,90159,12800,6435
2016-12,137994,126800,189984,89391,91989,13822,5553
2017-01,138067,128649,186605,92164,91045,14197,6174
2017-02,122022,109690,176348,77517,83661,11890,6274
2017-03,100682,106571,148072,73361,78632,11204,6175
2017-04,109410,79041,155292,56519,69904,9030,5637
2017-05,90784,69093,143735,49519,56603,6654,5467
2017-06,71650,55697,139654,45433,52387,5828,4881
2017-07,98876,69641,174942,46601,48038,6760,5539
2017-08,126184,85572,211960,56372,65073,9177,6861
2017-09,151761,104211,238122,79802,82159,10949,6939
2017-10,155175,133153,205034,96037,101316,14188,7702
2017-11,169544,146113,238930,97493,115462,16554,7470
2017-12,171294,150715,265677,108590,124184,16303,8074
2018-01,181214,160242,279161,112326,127123,17217,8610
2018-02,156939,141327,221113,96256,109544,13882,7897
2018-03,155256,145035,226811,99226,107220,13533,8756
2018-04,138985,107349,215963,82427,88740,10868,7719
2018-05,118691,78625,209533,50354,77692,7969,7138
2018-06,89761,72459,181607,46326,58023,6630,6527
2018-07,130494,89439,209559,58568,64977,7838,7990
2018-08,159032,108897,258007,76509,83768,9939,9310
2018-09,176545,143973,264687,110065,110779,13636,9699
2018-10,181942,166336,262502,108914,121080,15764,9636
2018-11,215913,151602,318289,127185,148034,14912,10146
2018-12,293777,201393,334469,158510,192928,18650,11644
2019-01,292119,236003,356776,176646,202928,24554,10464
2019-02,267627,204198,293087,148229,175211,18548,11135
2019-03,243857,191290,284808,126926,164376,17023,11883
2019-04,225862,151910,268728,101733,138026,13806,10468
2019-05,194820,105548,245296,74670,122049,8904,10781
2019-06,155138,93400,214047,70717,86451,7207,11214
2019-07,203053,102827,258186,75242,108119,8295,12001
2019-08,241310,143687,313368,99481,141956,11841,13605
2019-09,277364,196983,380661,138964,172978,16280,14394
2019-10,323677,260049,407001,178643,204517,20630,15288
2019-11,311077,270965,438183,193631,234878,21988,15684
2019-12,249634,327456,431620,219787,245271,26973,15171
2020-01,204733,295086,397228,208322,251262,23513,14256
2020-02,177253,252270,324845,186296,194963,21000,15245
2020-03,177814,246365,357694,171098,195425,17747,17238
2020-04,154993,169943,341870,124072,157758,12599,16036
2020-05,137478,151727,286538,105513,135608,10169,16139
2020-06,123730,128505,263323,90900,100542,7674,16200
2020-07,131866,132214,295045,107785,123139,10266,17565
2020-08,185912,183448,369148,123828,142392,13048,18300
